ACL/*/read,ACL/as6iic7p4c/read,ACL/as6iic7p4c/write,DataRate,DeviceDistance,DownloadTime,EndTime,FileSize,StartTime,createdAt,objectId,updatedAt
TRUE,TRUE,TRUE,1323.785303,1,14.942,1.43674E+12,19780,1.43674E+12,2015-07-12T22:58:12.243Z,09cc0P6csg,2015-07-12T22:58:23.056Z
TRUE,TRUE,TRUE,44402.10001,10,11.619,1.43675E+12,515908,1.43675E+12,2015-07-13T00:18:36.979Z,0CjTKxXrpm,2015-07-13T00:18:44.212Z
TRUE,TRUE,TRUE,8791.270335,10,11.249,1.43674E+12,98893,1.43674E+12,2015-07-12T23:48:13.491Z,0KOLsO81Rw,2015-07-12T23:48:24.179Z
TRUE,TRUE,TRUE,45462.46035,10,11.348,1.43675E+12,515908,1.43675E+12,2015-07-13T00:18:48.843Z,0UZand35WU,2015-07-13T00:18:54.572Z
TRUE,TRUE,TRUE,25981.16533,1,19.857,1.43675E+12,515908,1.43675E+12,2015-07-13T00:07:19.127Z,10iVV5PHq8,2015-07-13T00:07:28.027Z
TRUE,TRUE,TRUE,26078.3501,15,19.783,1.43675E+12,515908,1.43675E+12,2015-07-13T00:23:21.003Z,17ghHVpO6Y,2015-07-13T00:23:32.544Z
TRUE,TRUE,TRUE,10596.057,8,9.333,1.43674E+12,98893,1.43674E+12,2015-07-12T23:44:21.270Z,1mPaWYshh0,2015-07-12T23:44:28.660Z
TRUE,TRUE,TRUE,1682.688218,3,11.755,1.43674E+12,19780,1.43674E+12,2015-07-12T23:04:05.762Z,2KCaBEWN8F,2015-07-12T23:04:13.625Z
TRUE,TRUE,TRUE,39496.86112,15,13.062,1.43675E+12,515908,1.43675E+12,2015-07-13T00:26:51.865Z,2NbBJQc1Z9,2015-07-13T00:27:02.372Z
TRUE,TRUE,TRUE,32961.15512,3,15.652,1.43675E+12,515908,1.43675E+12,2015-07-13T00:10:48.380Z,2Rv7BIanOZ,2015-07-13T00:10:57.986Z
TRUE,TRUE,TRUE,9257.043902,5,10.683,1.43674E+12,98893,1.43674E+12,2015-07-12T23:40:33.860Z,2TBdnpjTFr,2015-07-12T23:40:41.366Z
TRUE,TRUE,TRUE,7581.493407,1,13.044,1.43674E+12,98893,1.43674E+12,2015-07-12T23:36:15.891Z,33C03WYssB,2015-07-12T23:36:24.910Z
TRUE,TRUE,TRUE,2634.874117,3,7.507,1.43674E+12,19780,1.43674E+12,2015-07-12T23:04:21.157Z,35msPMFIIf,2015-07-12T23:04:26.741Z
TRUE,TRUE,TRUE,2112.570757,20,9.363,1.43674E+12,19780,1.43674E+12,2015-07-12T23:30:47.300Z,39FOvfaIRy,2015-07-12T23:30:53.076Z
